,Lambda,eigs,res_i1000,S
0,(0.9966432831142882+0.014360046935963842j),(-0.06517145811003434+0.2881482989267661j),3.9822057939806954e-36,6.727363022245199e-07
1,(0.9966432831142882-0.014360046935963842j),(-0.06517145811003434-0.2881482989267661j),3.9822057939806746e-36,2.439782418485867e-08
2,(0.9903248805845031+0j),(-0.19444454960745022+0j),1.0872439920033892e-95,6.093903590940374e-14
3,(0.6353877314354982+0j),(-9.070397314887417+0j),0.0,1.698684492143967e-15
4,(-0.0423570778661049+0.8302108479521282j),(-3.695515294679682+32.43543581726858j),0.0,1.0238415917805279e-15
5,(-0.0423570778661049-0.8302108479521282j),(-3.695515294679682-32.43543581726858j),0.0,9.626132552088865e-16
6,(-0.6162103349284431+0.5609644814366291j),(-3.6471240610781046+48.06181926738806j),0.0,9.251216549236312e-16
7,(-0.6162103349284431-0.5609644814366291j),(-3.6471240610781046-48.06181926738806j),0.0,8.853925031595565e-16
8,(-0.838346860570307+0j),(-3.526466987548707+62.83185307179586j),0.0,8.317962372123415e-16
