,Lambda,eigs,res_i1000,S
0,(0.9976534254745625+0j),(-0.0469866409220469+0j),4.822602565894392e-23,0.04980910687709805
1,(0.997020908376494+0.025744474731109374j),(-0.053005534264923757+0.5163132515902531j),3.802168133015519e-26,0.0021436518713941035
2,(0.997020908376494-0.025744474731109374j),(-0.053005534264923757-0.5163132515902531j),3.802168133015528e-26,0.00028343690945189506
3,(0.9768898861356432+0.15059305623646274j),(-0.2327669429968619+3.0590323072399745j),2.279861898430818e-105,2.1302931965586715e-05
4,(0.9768898861356432-0.15059305623646274j),(-0.2327669429968619-3.0590323072399745j),2.2798618984308193e-105,2.893845134148152e-07
5,(0.955042385056218+0.19841549215003235j),(-0.4974221921208387+4.096834259023835j),4.808552505159117e-221,1.2708167443725595e-08
6,(0.955042385056218-0.19841549215003235j),(-0.4974221921208387-4.096834259023835j),4.808552505159144e-221,6.408517690059709e-10
7,(0.9308282940817344+0.2931673212664271j),(-0.48782353312210325+6.102364412728139j),1.3000360474157594e-218,1.590401869903982e-11
8,(0.9308282940817344-0.2931673212664271j),(-0.48782353312210325-6.102364412728139j),1.3000360474156447e-218,4.981123495877847e-13
