,Lambda,eigs,res_i1000,S
0,(0.9812857226154935+0j),(-0.3778321066986151+0j),5.822041585863833e-169,0.2146069488268817
1,(0.9798519422972224+0.05174010806259981j),(-0.3792321296062529+1.0551002202855007j),2.1363861237442565e-169,0.034165123958723655
2,(0.9798519422972224-0.05174010806259981j),(-0.3792321296062529-1.0551002202855007j),1.1316255437836143e-166,0.004440979312291621
3,(0.9686174457643499+0.13990969778605927j),(-0.4312205453392038+2.869010658457908j),3.0104945319510777e-190,0.0003179034555961782
4,(0.9686174457643499-0.13990969778605927j),(-0.4312205453392038-2.869010658457908j),3.0104945319511076e-190,1.784525735880943e-05
5,(0.9436142735730446+0.19741187378803884j),(-0.7323828637497347+4.124674953513107j),8.705e-321,1.0713444450523672e-06
6,(0.9436142735730446-0.19741187378803884j),(-0.7323828637497347-4.124674953513107j),8.705e-321,4.6100774795053954e-08
7,(0.891177806692198+0.31872096326375887j),(-1.1005938745762314+6.869298155009716j),0.0,2.267241588583889e-09
8,(0.891177806692198-0.31872096326375887j),(-1.1005938745762314-6.869298155009716j),0.0,6.325731607285491e-11
