,Lambda,eigs,res_i1000,S
0,(0.9986810274578934+0j),(-0.026396863040291+0j),1.550803353426711e-18,0.00451632039571667
1,(0.9927174137426885+0.003072530627633091j),(-0.14608888067959572+0.06190121728682517j),1.542237981316522e-71,1.1567779497691339e-05
2,(0.9927174137426885-0.003072530627633091j),(-0.14608888067959572-0.06190121728682517j),2.962528156056527e-67,1.7375948167694557e-07
3,(0.9770098652248973+0.15138346886062265j),(-0.22792556664619612+3.074465300500408j),6.346302867608096e-104,1.8310068651091444e-08
4,(0.9770098652248973-0.15138346886062265j),(-0.22792556664619612-3.074465300500408j),6.346302867608107e-104,4.3310261402888474e-10
5,(0.9634153408525079+0.05313195041596896j),(-0.715044623800032+1.1018753747014662j),4.570883e-318,3.6305433556982076e-12
6,(0.9634153408525079-0.05313195041596896j),(-0.715044623800032-1.1018753747014662j),4.570883e-318,5.168319751975795e-14
7,(0.212049841867465+0j),(-31.018678575882383+0j),0.0,2.06072794673643e-15
8,(-0.83588027932255+0j),(-3.5853976540889274+62.83185307179586j),0.0,1.40569973531424e-15
