   1	     0.19419	     0	     0
   2	     0.14854	     0	     0
   3	     0.16652	     0	     0
   4	    0.066382	     0	     0
   5	    0.040142	     0	     0
   6	    0.023701	     0	     0
   7	    0.019772	     0	     0
   8	    0.016068	     0	     0
   9	    0.023142	     0	     0
  10	    0.020097	     0	     0
  11	    0.020681	     0	     0
  12	    0.020376	     0	     0
  13	    0.019788	     0	     0
  14	    0.017951	     0	     0
  15	    0.016276	     0	     0
  16	    0.014583	     0	     0
  17	    0.012741	     0	     0
  18	    0.021166	     0	     0
  19	   0.0097207	     0	     0
  20	   0.0097134	     0	     0
  21	   0.0078589	     0	     0
  22	   0.0066679	     0	     0
  23	   0.0093999	     0	     0
  24	   0.0066451	     0	     0
  25	    0.010764	     0	     0
  26	   0.0079211	     0	     0
  27	   0.0080819	     0	     0
  28	     0.00604	     0	     0
  29	   0.0076118	     0	     0
  30	   0.0077878	     0	     0
  31	   0.0051875	0.918635	    -1
  32	    0.005789	0.926935	    -1
  33	   0.0059224	0.937537	    -1
  34	   0.0049462	0.94257	    -1
  35	    0.017912	0.953321	    -1
  36	    0.011442	0.958268	    -1
  37	   0.0044436	0.956494	    -1
  38	   0.0047918	0.954457	    -1
  39	   0.0048045	0.955353	    -1
  40	   0.0034481	0.953946	    -1
  41	   0.0065334	0.957415	    -1
  42	     0.00569	0.960435	    -1
  43	   0.0037484	0.961225	    -1
  44	   0.0058729	0.964873	    -1
  45	   0.0033349	0.964832	    -1
  46	   0.0029418	0.96396	    -1
  47	   0.0031209	0.963246	    -1
  48	   0.0029592	0.96618	    -1
  49	   0.0075273	0.97061	    -1
  50	   0.0027071	0.968753	    -1
  51	   0.0027545	0.966145	    -1
  52	   0.0028901	0.9632	    -1
  53	   0.0037763	0.964562	    -1
  54	   0.0042269	0.964711	    -1
  55	   0.0023837	0.964698	    -1
  56	   0.0022956	0.963059	    -1
  57	   0.0023081	0.962119	    -1
  58	   0.0022348	0.959588	    -1
  59	   0.0021584	0.958799	    -1
  60	   0.0031194	0.960981	   INF
  61	   0.0046398	0.963327	    -1
  62	   0.0024537	0.962494	    -1
  63	   0.0022597	0.961669	    -1
  64	   0.0037756	0.963248	    -1
  65	   0.0043377	0.97442	    -1
  66	   0.0019504	0.978242	    -1
  67	   0.0017633	0.975827	    -1
  68	   0.0024983	0.976518	    -1
  69	   0.0077004	0.984635	    -1
  70	   0.0029991	0.984336	    -1
  71	   0.0026988	0.987773	    -1
  72	   0.0021358	0.989173	    -1
  73	    0.002939	0.990196	    -1
  74	   0.0027384	0.993948	    -1
  75	   0.0033786	0.995514	    -1
  76	   0.0016225	0.991512	    -1
  77	   0.0032094	0.992548	    -1
  78	   0.0027941	0.992321	    -1
  79	   0.0040194	1.00087	    -1
  80	    0.002068	0.998394	    -1
  81	    0.004935	1.00177	    -1
  82	   0.0031403	1.00229	    -1
  83	   0.0019295	1.00148	    -1
  84	   0.0014981	1.00012	    -1
  85	   0.0050743	1.00314	    -1
  86	   0.0014668	0.997553	    -1
  87	     0.00249	0.995625	    -1
  88	   0.0017244	0.991094	    -1
  89	   0.0023605	0.988461	    -1
  90	   0.0027538	0.989286	1.02946
  91	   0.0021946	0.991429	    -1
  92	   0.0014794	0.987035	    -1
  93	   0.0023823	0.985348	    -1
  94	   0.0014187	0.983834	    -1
  95	   0.0027256	0.987844	    -1
  96	   0.0014584	0.982649	    -1
  97	   0.0015151	0.977168	    -1
  98	   0.0013748	0.973511	    -1
  99	   0.0013321	0.977487	    -1
 100	   0.0013919	0.976156	    -1
 101	   0.0013526	0.97427	    -1
 102	   0.0018899	0.973215	    -1
 103	   0.0016208	0.973393	    -1
 104	   0.0015602	0.973115	    -1
 105	   0.0013617	0.973636	    -1
 106	   0.0012351	0.969024	    -1
 107	   0.0014354	0.970038	    -1
 108	   0.0012306	0.969511	    -1
 109	   0.0016834	0.973738	    -1
 110	   0.0011702	0.971606	    -1
 111	   0.0014847	0.977057	    -1
 112	   0.0016018	0.980485	    -1
 113	   0.0013984	0.98006	    -1
 114	   0.0012265	0.97724	    -1
 115	   0.0010908	0.982006	    -1
 116	   0.0012751	0.98004	    -1
 117	    0.001165	0.981144	    -1
 118	   0.0014433	0.98145	    -1
 119	   0.0027619	0.988091	    -1
 120	   0.0014583	0.991671	1.00241
 121	   0.0010321	0.991774	    -1
 122	   0.0011547	0.990231	    -1
 123	   0.0013286	0.992952	    -1
 124	    0.001406	0.992749	    -1
 125	   0.0042667	1.0042	    -1
 126	  0.00096014	1.00152	    -1
 127	  0.00093739	0.99914	    -1
 128	   0.0015662	0.999619	    -1
 129	   0.0020418	1.00153	    -1
 130	  0.00089441	0.998236	    -1
 131	   0.0015136	0.998331	    -1
 132	   0.0012523	0.999458	    -1
 133	   0.0011717	0.999282	    -1
 134	  0.00089019	0.997218	    -1
 135	   0.0011486	0.996109	    -1
 136	   0.0009926	0.993472	    -1
 137	   0.0011098	0.99268	    -1
 138	  0.00094167	0.9899	    -1
 139	   0.0014802	0.992272	    -1
 140	  0.00095806	0.989435	    -1
 141	  0.00090804	0.987972	    -1
 142	  0.00098522	0.987764	    -1
 143	   0.0012276	0.988246	    -1
 144	    0.001032	0.986787	    -1
 145	  0.00090797	0.983795	    -1
 146	  0.00091472	0.981996	    -1
 147	  0.00087681	0.979468	    -1
 148	   0.0010067	0.979387	    -1
 149	  0.00089623	0.983118	    -1
 150	  0.00088205	0.982918	0.991174
 151	  0.00086536	0.980477	    -1
 152	  0.00088892	0.979045	    -1
 153	   0.0011708	0.980416	    -1
