   1       68.953 0 0
   2       35.087 0 0
   3       19.792 0 0
   4        12.62 0 0
   5       8.6918 0 0
   6       6.4253 0 0
   7       5.0327 0 0
   8       4.0925 0 0
   9        3.405 0 0
  10       2.8728 0 0
  11       2.4478 0 0
  12       2.1049 0 0
  13        1.829 0 0
  14       1.6095 0 0
  15       1.4412 0 0
  16       1.3216 0 0
  17        1.245 0 0
  18       1.1983 0 0
  19       1.1649 0 0
  20       1.1315 0 0
  21       1.0921 0 0
  22       1.0466 0 0
  23      0.99868 0 0
  24      0.95179 0 0
  25      0.90781 0 0
  26      0.86644 0 0
  27      0.82589 0 0
  28      0.78429 0 0
  29      0.74074 0 0
  30      0.69582 0 0
  31      0.65133 0 0
  32      0.60957 0 0
  33      0.57233 0 0
  34      0.54021 0 0
  35      0.51247 0 0
  36      0.48759 0 0
  37       0.4641 0 0
  38      0.44129 0 0
  39      0.41938 0 0
  40      0.39933 0 0
  41      0.38241 0 0
  42       0.3696 0 0
  43      0.36121 0 0
  44      0.35679 0 0
  45      0.35529 0 0
  46       0.3554 0 0
  47      0.35587 0 0
  48      0.35568 0 0
  49      0.35408 0 0
  50      0.35064 0 0
  51      0.34516 0 0
  52      0.33769 0 0
  53      0.32847 0 0
  54      0.31785 0 0
  55      0.30628 0 0
  56      0.29414 0 0
  57      0.28183 0 0
  58      0.26963 0 0
  59      0.25784 0 0
  60      0.24674 0 0
  61      0.23661 0 0
  62      0.22778 0 0
  63      0.22047 0 0
  64      0.21481 0 0
  65      0.21076 0 0
  66       0.2081 0 0
  67      0.20646 0 0
  68      0.20544 0 0
  69      0.20461 0 0
  70      0.20361 0 0
  71      0.20219 0 0
  72      0.20017 0 0
  73      0.19748 0 0
  74      0.19411 0 0
  75      0.19012 0 0
  76      0.18559 0 0
  77      0.18064 0 0
  78      0.17538 0 0
  79      0.16996 0 0
  80      0.16449 0 0
  81      0.15912 0 0
  82      0.15396 0 0
  83      0.14914 0 0
  84      0.14477 0 0
  85      0.14092 0 0
  86      0.13764 0 0
  87      0.13491 0 0
  88      0.13267 0 0
  89      0.13082 0 0
  90      0.12923 0 0
  91      0.12777 0 0
  92      0.12633 0 0
  93      0.12482 0 0
  94      0.12318 0 0
  95      0.12139 0 0
  96      0.11944 0 0
  97      0.11734 0 0
  98      0.11512 0 0
  99       0.1128 0 0
 100      0.11041 0 0
 101      0.10799 0 0
 102      0.10557 0 0
 103      0.10318 0 0
 104      0.10089 0 0
 105     0.098713 0 0
 106     0.096703 0 0
 107     0.094881 0 0
 108     0.093259 0 0
 109     0.091835 0 0
 110     0.090595 0 0
 111     0.089512 0 0
 112     0.088556 0 0
 113     0.087692 0 0
 114     0.086891 0 0
 115     0.086124 0 0
 116      0.08537 0 0
 117     0.084613 0 0
 118     0.083839 0 0
 119     0.083042 0 0
 120      0.08222 0 0
 121     0.081372 0 0
 122     0.080504 0 0
 123     0.079625 0 0
 124      0.07875 0 0
 125     0.077892 0 0
 126     0.077071 0 0
 127     0.076302 0 0
 128     0.075601 0 0
 129     0.074979 0 0
 130     0.074443 0 0
 131     0.073993 0 0
 132     0.073628 0 0
 133     0.073339 0 0
 134     0.073115 0 0
 135     0.072945 0 0
 136     0.072816 0 0
 137     0.072714 0 0
 138      0.07263 0 0
 139     0.072553 0 0
 140     0.072477 0 0
 141     0.072396 0 0
 142     0.072309 0 0
 143     0.072216 0 0
 144      0.07212 0 0
 145     0.072026 0 0
 146     0.071941 0 0
 147     0.071871 0 0
 148     0.071826 0 0
 149     0.071811 0 0
 150     0.071834 0 0
 151     0.071899 0 0
 152     0.072007 0 0
 153     0.072161 0 0
 154     0.072359 0 0
 155     0.072599 0 0
 156     0.072876 0 0
 157     0.073186 0 0
 158     0.073524 0 0
 159     0.073885 0 0
 160     0.074265 0 0
 161      0.07466 0 0
 162     0.075066 0 0
 163     0.075481 0 0
 164     0.075905 0 0
 165     0.076337 0 0
 166     0.076779 0 0
 167     0.077232 0 0
 168     0.077698 0 0
 169      0.07818 0 0
 170      0.07868 0 0
 171     0.079201 0 0
 172     0.079745 0 0
 173     0.080311 0 0
 174     0.080902 0 0
 175     0.081514 0 0
 176     0.082148 0 0
 177     0.082801 0 0
 178     0.083471 0 0
 179     0.084154 0 0
 180     0.084848 0 0
 181     0.085549 0 0
 182     0.086255 0 0
 183     0.086962 0 0
 184     0.087671 0 0
 185     0.088377 0 0
 186     0.089082 0 0
 187     0.089784 0 0
 188     0.090483 0 0
 189     0.091179 0 0
 190     0.091873 0 0
 191     0.092564 0 0
 192     0.093253 0 0
 193     0.093939 0 0
 194     0.094622 0 0
 195     0.095301 0 0
 196     0.095974 0 0
 197      0.09664 0 0
 198     0.097296 0 0
 199     0.097942 0 0
 200     0.098573 0 0
 201     0.099188 0 0
 202     0.099785 0 0
 203      0.10036 0 0
 204      0.10091 0 0
 205      0.10144 0 0
 206      0.10194 0 0
 207      0.10241 0 0
 208      0.10285 0 0
 209      0.10325 0 0
 210      0.10362 0 0
 211      0.10395 0 0
 212      0.10425 0 0
 213       0.1045 0 0
 214       0.1047 0 0
 215      0.10486 0 0
 216      0.10498 0 0
 217      0.10504 0 0
 218      0.10505 0 0
 219        0.105 0 0
 220       0.1049 0 0
 221      0.10473 0 0
 222      0.10451 0 0
 223      0.10423 0 0
 224      0.10388 0 0
 225      0.10347 0 0
 226        0.103 0 0
 227      0.10247 0 0
 228      0.10187 0 0
 229      0.10122 0 0
 230      0.10051 0 0
 231     0.099735 0 0
 232     0.098909 0 0
 233      0.09803 0 0
 234     0.097101 0 0
 235     0.096123 0 0
 236       0.0951 0 0
 237     0.094035 0 0
 238     0.092931 0 0
