   1	      68.767
   2	      35.034
   3	      19.762
   4	      12.603
   5	      8.6809
   6	      6.4175
   7	      5.0269
   8	      4.0883
   9	      3.4021
  10	      2.8709
  11	      2.4466
  12	      2.1042
  13	      1.8284
  14	       1.609
  15	      1.4406
  16	      1.3208
  17	      1.2437
  18	      1.1966
  19	      1.1628
  20	      1.1294
  21	        1.09
  22	      1.0449
  23	     0.99734
  24	     0.95084
  25	      0.9072
  26	     0.86606
  27	     0.82566
  28	     0.78414
  29	     0.74065
  30	     0.69576
  31	     0.65127
  32	     0.60946
  33	     0.57213
  34	     0.53989
  35	     0.51204
  36	     0.48707
  37	     0.46355
  38	     0.44076
  39	     0.41891
  40	     0.39895
  41	     0.38212
  42	     0.36939
  43	     0.36106
  44	     0.35669
  45	     0.35523
  46	     0.35536
  47	     0.35584
  48	     0.35565
  49	     0.35404
  50	     0.35058
  51	     0.34509
  52	     0.33761
  53	     0.32838
  54	     0.31777
  55	     0.30619
  56	     0.29407
  57	     0.28176
  58	     0.26958
  59	      0.2578
  60	     0.24671
  61	      0.2366
  62	     0.22777
  63	     0.22047
  64	     0.21483
  65	     0.21078
  66	     0.20813
  67	      0.2065
  68	     0.20547
  69	     0.20464
  70	     0.20365
  71	     0.20223
  72	     0.20022
  73	     0.19753
  74	     0.19416
  75	     0.19016
  76	     0.18563
  77	     0.18068
  78	     0.17543
  79	     0.17001
  80	     0.16454
  81	     0.15917
  82	     0.15401
  83	     0.14919
  84	     0.14482
  85	     0.14098
  86	     0.13769
  87	     0.13497
  88	     0.13273
  89	     0.13088
  90	     0.12929
  91	     0.12783
  92	     0.12639
  93	     0.12488
  94	     0.12325
  95	     0.12145
  96	     0.11951
  97	     0.11741
  98	     0.11519
  99	     0.11287
 100	     0.11048
 101	     0.10805
 102	     0.10563
 103	     0.10325
 104	     0.10095
 105	    0.098778
 106	    0.096768
 107	    0.094945
 108	    0.093323
 109	    0.091899
 110	    0.090659
 111	    0.089576
 112	    0.088619
 113	    0.087754
 114	    0.086952
 115	    0.086183
 116	    0.085428
 117	    0.084668
 118	    0.083892
 119	    0.083093
 120	    0.082268
 121	    0.081417
 122	    0.080547
 123	    0.079666
 124	    0.078788
 125	    0.077928
 126	    0.077104
 127	    0.076333
 128	     0.07563
 129	    0.075006
 130	    0.074467
 131	    0.074015
 132	    0.073646
 133	    0.073354
 134	    0.073128
 135	    0.072954
 136	    0.072821
 137	    0.072717
 138	    0.072629
 139	    0.072549
 140	    0.072469
 141	    0.072385
 142	    0.072295
 143	    0.072198
 144	      0.0721
 145	    0.072003
 146	    0.071915
 147	    0.071843
 148	    0.071795
 149	    0.071778
 150	    0.071799
 151	    0.071861
 152	    0.071967
 153	    0.072119
 154	    0.072314
 155	    0.072551
 156	    0.072826
 157	    0.073134
 158	     0.07347
 159	    0.073829
 160	    0.074207
 161	      0.0746
 162	    0.075004
 163	    0.075418
 164	     0.07584
 165	    0.076271
 166	    0.076711
 167	    0.077163
 168	    0.077628
 169	    0.078109
 170	    0.078609
 171	     0.07913
 172	    0.079673
 173	    0.080239
 174	    0.080829
 175	    0.081442
 176	    0.082076
 177	    0.082729
 178	    0.083399
 179	    0.084083
 180	    0.084777
 181	    0.085479
 182	    0.086186
 183	    0.086895
 184	    0.087605
 185	    0.088313
 186	     0.08902
 187	    0.089723
 188	    0.090425
 189	    0.091123
 190	    0.091819
 191	    0.092513
 192	    0.093204
 193	    0.093893
 194	    0.094579
 195	    0.095261
 196	    0.095937
 197	    0.096607
 198	    0.097267
 199	    0.097917
 200	    0.098553
 201	    0.099173
 202	    0.099774
 203	     0.10036
 204	     0.10091
 205	     0.10145
 206	     0.10195
 207	     0.10243
 208	     0.10287
 209	     0.10329
 210	     0.10366
 211	       0.104
 212	      0.1043
 213	     0.10456
 214	     0.10478
 215	     0.10495
 216	     0.10507
 217	     0.10514
 218	     0.10516
 219	     0.10513
 220	     0.10503
 221	     0.10488
 222	     0.10467
 223	      0.1044
 224	     0.10406
 225	     0.10366
 226	      0.1032
 227	     0.10268
 228	      0.1021
 229	     0.10145
 230	     0.10075
 231	    0.099986
 232	    0.099169
 233	    0.098298
 234	    0.097376
 235	    0.096405
 236	    0.095388
 237	    0.094328
 238	    0.093229
 239	    0.092093
 240	    0.090923
 241	    0.089725
 242	      0.0885
 243	    0.087252
 244	    0.085986
 245	    0.084704
 246	    0.083411
 247	    0.082109
 248	    0.080802
 249	    0.079494
 250	    0.078187
 251	    0.076884
 252	    0.075589
 253	    0.074303
 254	    0.073028
 255	    0.071768
 256	    0.070523
 257	    0.069296
 258	    0.068088
 259	      0.0669
 260	    0.065734
 261	     0.06459
 262	     0.06347
 263	    0.062373
 264	    0.061301
 265	    0.060255
 266	    0.059233
 267	    0.058238
 268	    0.057268
 269	    0.056324
 270	    0.055407
 271	    0.054515
 272	     0.05365
 273	     0.05281
 274	    0.051995
 275	    0.051205
 276	    0.050441
 277	      0.0497
 278	    0.048984
 279	    0.048291
 280	    0.047621
 281	    0.046974
 282	    0.046349
 283	    0.045746
 284	    0.045163
 285	    0.044602
 286	     0.04406
 287	    0.043538
 288	    0.043035
 289	     0.04255
 290	    0.042083
 291	    0.041634
 292	    0.041202
 293	    0.040785
 294	    0.040385
 295	        0.04
 296	    0.039629
 297	    0.039273
 298	     0.03893
 299	      0.0386
 300	    0.038283
 301	    0.037977
 302	    0.037683
 303	    0.037399
 304	    0.037126
 305	    0.036863
 306	    0.036608
 307	    0.036363
 308	    0.036125
 309	    0.035895
 310	    0.035673
 311	    0.035457
 312	    0.035247
